condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
baseline/direct,baseline,direct,measured,3,3,21,6.564783,146.991,527.003,7.48427770799,7591107,7585562,23,6025928,1565046,182455228,831168,41439428608,41457678024,0.450034542,0.6375765,1.825876958,1.977386208,0.43234375,1.105517916,0.136047126,5.341124832,5.477171958,450.034542,637.5765,0.004167,1825.876958,1977.386208,432.34375,0.023083,2.207208,1105.517916,0.004167,6431.010208,0.035709,133.772792,0.001,owner_state/results/collect-20260911T074413358669Z/021-measured-03-baseline-direct.log,e548ade38423695640ae903cd0d0d95697817a047325aa2a84bab5ec762d306a
cse_dce/direct,cse_dce,direct,measured,3,4,22,6.748243,147.837,536.722,7.67382587501,7498510,7492965,23,5954835,1543542,182455228,834752,41414492160,41432790800,0.441523916,0.639635042,1.930743,1.988818792,0.4513245,1.160006667,0.136191083,5.530892959,5.667084042,441.523916,639.635042,0.004834,1930.743,1988.818792,451.3245,0.015625,2.115333,1160.006667,0.004625,6614.212708,0.020374,134.030292,0.001,owner_state/results/collect-20260911T074413358669Z/022-measured-03-cse_dce-direct.log,1dc931a80c753a3dfbed43b1d911b81fab594a575643e7dc7c39eff46cdff6b3
baseline/ssz,baseline,ssz,measured,3,5,23,7.702851,410.923,1034.074,9.543464791,8575525,8569724,24,6663941,1911451,207621052,834016,42920460288,44578193520,0.782144833,0.768367125,1.785175167,2.066434042,0.430886625,1.696447791,0.173395417,5.978943625,6.152339042,782.144833,768.367125,0.00425,1785.175167,2066.434042,430.886625,0.022708,2.154375,1696.447791,0.006375,7531.670334,0.027043,171.180666,0.001,owner_state/results/collect-20260911T074413358669Z/023-measured-03-baseline-ssz.log,3c67fb2bc90e245a421648066b09dfcf07ce17171547832e7fc3527d0d06dd44
cse_dce/ssz,cse_dce,ssz,measured,3,6,24,7.202292,303.105,1040.985,8.92362287499,8482697,8476896,24,6592617,1889947,207621052,836384,43731566592,43725258336,0.761903208,0.76687275,1.760542125,2.0449995,0.461917834,1.23895375,0.167102833,5.506413209,5.673516042,761.903208,766.87275,0.004375,1760.542125,2044.9995,461.917834,0.022208,2.111625,1238.95375,0.007167,7037.361083,0.026541,164.930917,0.001,owner_state/results/collect-20260911T074413358669Z/024-measured-03-cse_dce-ssz.log,906d1f2a49f9d5f19842c09893b9d74b34d21a929c5087db1196a50b6763da9d
baseline/ssz,baseline,ssz,measured,4,1,25,7.174664,291.833,1039.729,8.82502908399,8575525,8569724,24,6663941,1911451,207621052,834016,43532075008,43551702624,0.80957525,0.784772667,1.785405375,2.087081125,0.441582958,1.122302,0.143944625,5.436371458,5.580316083,809.57525,784.772667,0.00475,1785.405375,2087.081125,441.582958,0.026291,2.265042,1122.302,0.0035,7033.043334,0.024376,141.620666,0.001,owner_state/results/collect-20260911T074413358669Z/025-measured-04-baseline-ssz.log,a4e3bfd6467143c3015f50e38142324e890f6bf8136d03f0a5219378e38fcfab
baseline/direct,baseline,direct,measured,4,2,26,6.585381,149.96,525.718,7.49088912499,7591107,7585562,23,6025928,1565046,182455228,831168,41441837056,41460102880,0.457329125,0.6497055,1.835601917,1.9568175,0.41873775,1.140288625,0.126900583,5.351445792,5.478346375,457.329125,649.7055,0.004167,1835.601917,1956.8175,418.73775,0.021208,2.305792,1140.288625,0.004542,6460.835834,0.019708,124.545166,0.001,owner_state/results/collect-20260911T074413358669Z/026-measured-04-baseline-direct.log,8c2f52bd2f215fea5f80d8f0b1611c11cf0de24f609024f8896df7b3019a9158
cse_dce/ssz,cse_dce,ssz,measured,4,3,27,7.208883,293.774,1047.297,8.87612754099,8482697,8476896,24,6592617,1889947,207621052,836384,43429298176,43418156376,0.784855042,0.77110625,1.785339625,2.058673375,0.449619625,1.216214334,0.143074749,5.509846959,5.652921708,784.855042,771.10625,0.004375,1785.339625,2058.673375,449.619625,0.01725,2.196,1216.214334,0.004417,7068.055375,0.025082,140.827625,0.001,owner_state/results/collect-20260911T074413358669Z/027-measured-04-cse_dce-ssz.log,15be7174f366e0ce8fecdf8587759dd81c10b92cd45ef2209857716e99c45463
cse_dce/rlp,cse_dce,rlp,measured,4,4,28,7.088085,292.013,1032.427,8.72830649999,8462089,8456073,24,6722637,1739319,207621052,835712,43576557568,43565809032,0.766350333,0.767286042,1.759018333,2.058570417,0.4566405,1.145850792,0.134368583,5.420080042,5.554448625,766.350333,767.286042,0.005125,1759.018333,2058.570417,456.6405,0.022958,2.163,1145.850792,0.004208,6955.948958,0.03725,132.136042,0.001,owner_state/results/collect-20260911T074413358669Z/028-measured-04-cse_dce-rlp.log,f3acf7f7d43eb84e47cb28a6c3c1d3942f540f62e60051302c8286208f78c479
cse_dce/direct,cse_dce,direct,measured,4,5,29,6.491896,147.402,528.651,7.405370416,7498510,7492965,23,5954835,1543542,182455228,834752,41413296128,41431594768,0.430105666,0.646328916,1.817623542,1.935230209,0.434778917,1.101962167,0.125866583,5.289594835,5.415461418,430.105666,646.328916,0.004792,1817.623542,1935.230209,434.778917,0.017958,2.26425,1101.962167,0.003958,6368.342292,0.021917,123.553708,0.001,owner_state/results/collect-20260911T074413358669Z/029-measured-04-cse_dce-direct.log,8b34d4ca30d0b9137a238db55debfea9441001f00ae5069a17548a24fd9f85a2
baseline/rlp,baseline,rlp,measured,4,6,30,7.244005,306.304,1043.021,8.92363870899,8560191,8554175,24,6797891,1762167,207621052,834080,43503714304,43526946040,0.765352458,0.820324791,1.745455834,2.035465125,0.437179792,1.295509416,0.144717584,5.513610167,5.658327751,765.352458,820.324791,0.004208,1745.455834,2035.465125,437.179792,0.018458,2.115334,1295.509416,0.005042,7101.459834,0.029376,142.545166,0.001,owner_state/results/collect-20260911T074413358669Z/030-measured-04-baseline-rlp.log,34e8d9abe625cff0abdad7fbf842da11559dc2a5ad847d7b3db0bb1eead9d60c
