condition,variant,mode,kind,block,position,sequence,prove_s,verify_ms,assembly_ms,process_s,instructions,memory_cells,log_mem,xor,mul,committed_cells,proof_bytes,max_rss_bytes,peak_footprint_bytes,execution_s,witness_build_s,commitment_s,bus_s,constraints_s,opening_s,other_s,four_major_proving_stages_s,prove_after_execution_and_build_s,phase_execute_ms,phase_build_ms,phase_transcript_setup_ms,phase_commit_ms,phase_bus_ms,phase_constraints_ms,phase_claim_prep_ms,phase_reduction_ms,phase_pcs_open_ms,phase_finalize_ms,phase_internal_total_ms,phase_internal_residual_ms,phase_outer_prove_residual_ms,phase_outer_timer_resolution_ms,log,log_sha256
cse_dce/direct,cse_dce,direct,measured,26,1,79,6.791136,152.396,518.546,7.667263833,7498510,7492965,23,5954835,1543542,182455228,834752,41416441856,41434724088,0.429012042,0.581153375,1.982598333,2.107250917,0.427484083,1.145643208,0.117994042,5.662976541,5.780970583,429.012042,581.153375,0.004084,1982.598333,2107.250917,427.484083,0.026917,2.245791,1145.643208,0.004167,6675.445208,0.022291,115.690792,0.001,owner_state/results/collect-20260915T094023087152Z/079-measured-26-cse_dce-direct.log,b916ee82c48a6e88862c1a2cc9dc4f37fd82e442e95278e44a67364324952be1
cse_dce/rlp,cse_dce,rlp,measured,26,2,80,7.19411,301.88,1031.088,8.828194209,8462089,8456073,24,6722637,1739319,207621052,835712,44143755264,44163317272,0.794370917,0.733959333,1.864383875,2.141500833,0.425815834,1.130308541,0.103770667,5.562009083,5.66577975,794.370917,733.959333,0.00425,1864.383875,2141.500833,425.815834,0.017875,3.064625,1130.308541,0.009792,7093.4595,0.023625,100.6505,0.001,owner_state/results/collect-20260915T094023087152Z/080-measured-26-cse_dce-rlp.log,0d0bb26fc58fc59173629a3865fda3b8a2676bcf50309a4a919e51a692a06b66
cse_dce/ssz,cse_dce,ssz,measured,26,3,81,6.840849,291.786,1042.371,8.452659958,8482697,8476896,24,6592617,1889947,207621052,836384,44082282496,44102008560,0.733079083,0.717958,1.815388708,2.066266666,0.405886541,1.009575542,0.09269446,5.297117457,5.389811917,733.079083,717.958,0.003708,1815.388708,2066.266666,405.886541,0.023792,2.207416,1009.575542,0.005917,6750.419125,0.023752,90.429875,0.001,owner_state/results/collect-20260915T094023087152Z/081-measured-26-cse_dce-ssz.log,0590784679f48835803e8fbc3f5e36a1791d5d959f16818f111d07dacf2de35c
cse_dce/rlp,cse_dce,rlp,measured,27,1,82,6.855507,288.78,1072.716,8.493754042,8462089,8456073,24,6722637,1739319,207621052,835712,44142002176,44161597000,0.703581042,0.687207083,1.751283792,2.0609,0.415005667,1.127309291,0.110220125,5.35449875,5.464718875,703.581042,687.207083,0.004417,1751.283792,2060.9,415.005667,0.017625,2.257833,1127.309291,0.007917,6747.599042,0.024375,107.907958,0.001,owner_state/results/collect-20260915T094023087152Z/082-measured-27-cse_dce-rlp.log,05f360f9ab5363d723be10a1a9764a8d610b8e47d76aac476e722a254e8930f1
cse_dce/ssz,cse_dce,ssz,measured,27,2,83,7.030189,292.977,1025.067,8.63820275,8482697,8476896,24,6592617,1889947,207621052,836384,44119654400,44139347672,0.759903958,0.722494334,1.829332916,2.044563541,0.459315333,1.114873208,0.09970571,5.448084998,5.547790708,759.903958,722.494334,0.005167,1829.332916,2044.563541,459.315333,0.0155,2.47425,1114.873208,0.004458,6933.005,0.022335,97.184,0.001,owner_state/results/collect-20260915T094023087152Z/083-measured-27-cse_dce-ssz.log,8477f3fe62300a3ec94317b031db064fd4f66721e5bef3b0c5060f49ce39b4ea
cse_dce/direct,cse_dce,direct,measured,27,3,84,6.250353,151.154,508.54,7.106728667,7498510,7492965,23,5954835,1543542,182455228,834752,41414410240,41432692472,0.407795334,0.57961625,1.768089958,1.897058542,0.411456791,1.077474042,0.108862083,5.154079333,5.262941416,407.795334,579.61625,0.004291,1768.089958,1897.058542,411.456791,0.015625,2.140416,1077.474042,0.00575,6143.67625,0.019251,106.67675,0.001,owner_state/results/collect-20260915T094023087152Z/084-measured-27-cse_dce-direct.log,27e006101f5acd6c3810b845c519dd29900161f774ecfd653e54b80f732d880f
cse_dce/ssz,cse_dce,ssz,measured,28,1,85,6.981173,295.505,1009.583,8.575480125,8482697,8476896,24,6592617,1889947,207621052,836384,44080201728,44099927792,0.725431833,0.700358958,1.805132958,2.096665125,0.431363,1.121061,0.101160126,5.454222083,5.555382209,725.431833,700.358958,0.004291,1805.132958,2096.665125,431.363,0.018167,2.30525,1121.061,0.004833,6882.370625,0.02521,98.802375,0.001,owner_state/results/collect-20260915T094023087152Z/085-measured-28-cse_dce-ssz.log,6268869048035fec072dfbf90b732d912769adf1da852e4cca7552eeb98d0bb0
cse_dce/direct,cse_dce,direct,measured,28,2,86,6.242033,148.829,511.712,7.098877458,7498510,7492965,23,5954835,1543542,182455228,834752,41413197824,41431480056,0.408411166,0.577029583,1.739686125,1.899939625,0.421152541,1.086462334,0.109351626,5.147240625,5.256592251,408.411166,577.029583,0.004541,1739.686125,1899.939625,421.152541,0.018208,2.354542,1086.462334,0.004584,6135.087833,0.024584,106.945167,0.001,owner_state/results/collect-20260915T094023087152Z/086-measured-28-cse_dce-direct.log,1d6380fe7aadfbb475e25003d681720b02991e330f7ad79b6ea4533665d61164
cse_dce/rlp,cse_dce,rlp,measured,28,3,87,7.072274,297.64,1008.755,8.664883541,8462089,8456073,24,6722637,1739319,207621052,835712,44140183552,44159876824,0.740491958,0.749715375,1.854723625,2.088623125,0.439383708,1.090947416,0.108388793,5.473677874,5.582066667,740.491958,749.715375,0.004709,1854.723625,2088.623125,439.383708,0.02225,2.341583,1090.947416,0.005042,6966.281083,0.022292,105.992917,0.001,owner_state/results/collect-20260915T094023087152Z/087-measured-28-cse_dce-rlp.log,a81771869fcda13c664e5f2a8a9b5b1e217ced49cdd786620f33b2b052281f4e
cse_dce/direct,cse_dce,direct,measured,29,1,88,6.176529,147.054,513.061,7.020889333,7498510,7492965,23,5954835,1543542,182455228,834752,41412526080,41430808312,0.406120334,0.605140083,1.769022167,1.882244416,0.403731625,1.008146208,0.102124167,5.063144416,5.165268583,406.120334,605.140083,0.004125,1769.022167,1882.244416,403.731625,0.017625,2.02525,1008.146208,0.00525,6076.477333,0.02025,100.051667,0.001,owner_state/results/collect-20260915T094023087152Z/088-measured-29-cse_dce-direct.log,240a6d0c620b6ada403ae590b7ccb8f66b6c91119afdb00e6e023529580f20b0
